Artist,Title,Key,BPM,Genre
RouzbehP,Mystic River,E maj,117,Afro House
Alex Niggemann,Zoulou,A min,124,Afro House
Gab Rhome,La Maison,C min,120,Afro House
Gersound,The Sun,A maj,121,Afro House
The Deepshakerz,My Way,A min,125,Afro House
Fake Mood,Stoinole,D maj,120,Afro House
Nyaruach,Gatluak,B maj,122,Afro House
Coeus,Elysian,F maj,123,Afro House
Abstraal,The Ancient One,G min,121,Afro House
Sound's Good Inc.,Masen'hamba,D♯ maj,123,Afro House
Eins Tiefer,Acer,A maj,123,Afro House
Hyenah,The Golden Cage Of Yesterday,D♯ maj,122,Afro House
Djuma Soundsystem,Saguaro,D min,121,Afro House
Daniel Rateuke,Marimbo,C maj,122,Afro House
Senses Of Mind,Spirits of Africa,B maj,122,Afro House
Wild Dark,Like A Whisper,D maj,120,Afro House
Sam Shure,Nandoo,B min,123,Afro House
Saronde,Moyo Mama,D min,122,Afro House
Fabio Aurea,Yini Feat. Toshi,E maj,123,Afro House
Yamil,Amaru,C min,123,Afro House
Mòo & Jo,N'Golo,D♯ min,120,Afro House
Djuma Soundsystem,Oloro Nyager feat. Olith,E maj,122,Afro House
Pablo Fierro,Tel Aviv To Casablanca,C min,118,Afro House
Whitesquare,Dahlass,C min,122,Afro House
Mollono.Bass,In The Jungle,C♯ min,122,Afro House
Badin Brothers,Crepuscule,E min,122,Afro House
Ayman Awad,Amandla,A maj,122,Afro House
&lez,Sharma,B min,122,Afro House
Alex Fogo,Shelter,E maj,120,Afro House
Emmanuel Jal,Rahamah,F♯ min,121,Afro House
Mononoid,Ballata,G min,121,Afro House
Aaaron,Kyoto Bliss,E min,121,Afro House
Enoo Napa,E[ART]H,C maj,119,Afro House
Mòo & Jo,Simba,F♯ min,120,Afro House
Lunar Plane,Tusk,E min,123,Afro House
Whitesquare,Stina,A maj,120,Afro House
Jenia Tarsol,Jimjum,E♭ maj,120,Afro House
Akil,La Ka Rubà feat. Akil,B min,122,Afro House
Silvano Del Gado,From Jamaica to Brasil,B♭ min,122,Afro House
Dele Sosimi,E Go Betta,D min,122,Afro House
TIMANTI,When You Wake Up,D min,125,Afro House
Armonica,Ngeke,C min,120,Afro House
Red Axes,Sun My Sweet Sun,D♭ maj,91,Afro House
Osunlade,Deep Musique,G maj,124,Afro House
Felipe Fella,That Body,E min,120,Afro House
Kintar,Tukana,A♯ min,122,Afro House
Jinadu,Fear & Wonder feat. Jinadu,A min,120,Afro House
Dele Sosimi,Turbulent Times,F min,120,Afro House
Dele Sosimi Afrobeat Orchestra,Too Much Information,E♭ min,120,Afro House
Floyd Lavine,Ghost of Harare,C maj,125,Afro House
Fluida,First Nations Drums,G♯ min,120,Afro House
LVTECE,Taiko,G maj,120,Afro House
Super Flu,K5000,E min,115,Afro House
Lazaro Casanova,Pakata,A♯ min,122,Afro House
Nenor,Odehya Nbiya,B maj,120,Afro House
Mastiksoul,Latin,D maj,130,Afro House
Emmanuel Jal,Kuar,D♯ min,122,Afro House
Shai T,Steps Of Innocence,C♯ min,120,Afro House
Dennis Ferrer,Dem People Go!,D♭ min,124,Afro House
Yamil,Triber,D min,118,Afro House
Coco,Tikka Star featuring Coco,D min,118,Afro House
Luke Garcia,Ekklesia,D♯ maj,120,Afro House
Example,All Night,G♯ min,124,Bass House
Jonas Aden,I Don't Speak French (Adieu),D♯ min,126,Bass House
DJ Glen,Another Planet,F maj,124,Bass House
The Sponges,Space Funk '75,F♯ min,124,Bass House
Chris Lake,Concentrate,G min,126,Bass House
Masteria,This Groove,A min,126,Bass House
Dog Blood,Turn Off The Lights,B min,128,Bass House
Spinstyles,Dat Booty,A min,125,Bass House
Dances With White Girls,Bang (feat. Dances With White Girls),A♯ min,125,Bass House
Malaa,Addiction,F maj,122,Bass House
Walker & Royce,WORD,E maj,125,Bass House
Tiesto,Feels So Good feat. Kelli-Leigh,E min,123,Bass House
Motez,Steady Motion Feat. KWAYE,D♯ min,126,Bass House
Sunstars,Money,E maj,126,Bass House
Anti Up,Hey Pablo,D min,126,Bass House
Honey & Badger,Delta,F maj,125,Bass House
Sage Armstrong,SFBF,A maj,125,Bass House
Marten Hørger,Redlight,F maj,128,Bass House
King Arthur,Friends,A min,123,Bass House
Malaa,Notorious,D maj,123,Bass House
Titus,Afrojack & Brohug ft. Titus - Let It Rip (DES3ETT Remix) feat. Titus,A♯ min,125,Bass House
Wuki,NYC 2 LA (feat. Roxanna),F♯ min,132,Bass House
Glass Petals,Nightcap,F♯ min,125,Bass House
Cazztek,Don't Let The Bass Get Ya,F♯ min,124,Bass House
Zedd,365,D min,124,Bass House
Anna Lunoe,303,C maj,130,Bass House
Wiley,Boasty (feat. Idris Elba),F maj,126,Bass House
Anna Lunoe,303,D min,128,Bass House
Michael Bibi,Frequency,D min,128,Bass House
JOYRYDE,IM GONE,A min,126,Bass House
MNNR,Boomy Chance,A♯ min,125,Bass House
Skrillex,AGEN WIDA,B min,126,Bass House
Benson,Ona Roll,G min,124,Bass House
San Pacho,Work,B min,126,Bass House
MNNR,Scared To Death,A min,126,Bass House
Noises,Medicine (feat. NOISES),G♯ min,122,Bass House
Moska,Haterz,A♯ min,125,Bass House
Anna Lunoe,What You Need,D min,124,Bass House
Le Duke,Warehouse,D min,128,Bass House
Curbi,Redeem,A min,128,Bass House
Autodidakt,Who Got Your Back,A min,125,Bass House
Born Dirty,Squeaky,A min,125,Bass House
Skrillex,Chicken Soup,E min,126,Bass House
Nerdynuts,Rush Hour,A maj,124,Bass House
Purple Velvet Curtains,Dusk (feat. Purple Velvet Curtains),A min,125,Bass House
Apster,Believe,F min,126,Bass House
Jauz,Rock The Party,F maj,128,Bass House
San Pacho,God Damn,B min,126,Bass House
JOYRYDE,HOT DRUM,G maj,125,Bass House
Malaa,Addiction (Gaba Remix),A min,124,Bass House
Volac,Porsche,F♯ min,126,Bass House
Jauz,DANCE FLOOR,F maj,125,Bass House
GODAMN,Groovy Circle,F maj,128,Bass House
LOthief,Dirty Talk,B min,124,Bass House
Valentino Khan,Lick It,A♭ min,125,Bass House
Keeld,Freek,B min,127,Bass House
MNNR,Lazers,A min,125,Bass House
DUAL CHANNELS,Famous,F maj,125,Bass House
Chocolate Puma,Step Back (VIP Mix) feat. Kris Kiss,D♯ maj,125,Bass House
Tchami,Omega (feat. Ibranovski),B min,125,Bass House
Masteria,Lose Control,C maj,126,Bass House
Anti Up,Get That,E♭ min,124,Bass House
Malaa,Addiction (Koos Remix),F min,126,Bass House
Morgan Page,Gone My Way feat. Pex L,A♯ min,125,Bass House
Riddim Commission,Look So Cute feat. Gabi'el,D♯ min,124,Bass House
Redlight,Sports Mode,C♯ min,130,Bass House
Tujamo,WITH U (feat. Karen Harding),F min,124,Bass House
Shift K3Y,Rhythm Of The Drum,A♯ maj,126,Bass House
Juan Giovany,Rasp Flavor,D maj,126,Bass House
Fetish,Nothin' but Mammals,D♯ min,124,Bass House
This Culture,Elevator,B min,124,Bass House
Costel Van Dein,Speaker From The Jungle,G maj,125,Bass House
Chris Lake,I Want You,G♭ min,125,Bass House
Tommie Sunshine,Scrub The Ground (feat. DJ Funk),F min,127,Bass House
Revrs,Get Down,A min,125,Bass House
Phlegmatic Dogs,Keepmastik,D min,124,Bass House
AC Slater,Jaws,A♭ min,125,Bass House
Tchami,Kurupt,E maj,123,Bass House
Honey & Badger,Agora,G♯ min,128,Bass House
DJ Glen,Ducking,D min,124,Bass House
Shift K3Y,SC4RY,G min,126,Bass House
Throttle,Like This,F maj,125,Bass House
Hood Rich,Magic Carpet,G♯ min,124,Bass House
Matroda,Do You Remember House?,D min,124,Bass House
Shaun Frank,Shapes (feat. Roshin),F maj,126,Bass House
Phlegmatic Dogs,Cuatrocats,A min,124,Bass House
Charlie Hedges,Them Hands,A min,125,Bass House
Hoda,Pure,A min,126,Bass House
BYOR,You Wanna,E min,124,Bass House
Gaba,To The Beat,D min,124,Bass House
NiQW,My Beets Feat. Color,A♯ min,125,Bass House
Diplo,Bubble Up,A min,123,Bass House
AC Slater,Free Your Soul (feat. Young Lyxx),A♯ min,124,Bass House
Tchami,Summer 99,G maj,126,Bass House
Tony Romera,Fire Inside,A min,124,Bass House
Dustycloud,Bold,F min,124,Bass House
Tchami,SIAW,F min,126,Bass House
Dombresky,Utopia,A♭ maj,126,Bass House
Titus,Let It Rip feat. Titus,A♯ min,125,Bass House
Visage Music,Up & Down,A min,124,Bass House
Quintino,TUTUTU,C min,128,Big Room
Will Sparks,Untouchable (feat. Aimee Dalton),C♯ min,128,Big Room
Deniz Koyu,TIME,D min,125,Big Room
W&W,Ups & Downs,G♯ maj,130,Big Room
Tujamo,Drop That Low (When I Dip),D♯ min,140,Big Room
Sidney Samson,Bomba Latina,F min,128,Big Room
Afrojack,The Bass,G♯ min,128,Big Room
MORTEN,Me & You,G min,126,Big Room
Martin Garrix,Mistaken,F♯ min,128,Big Room
Armin van Buuren,Don't Give Up On Me feat. Josh Cumbee,C min,128,Big Room
Blasterjaxx,Children Of Today,F♯ min,130,Big Room
SICK INDIVIDUALS,Reaction,F maj,126,Big Room
Garmiani,BARRACA,F min,128,Big Room
Teamworx,Losing Control,G♯ min,128,Big Room
ARTY,Avalanche,F maj,128,Big Room
Ummet Ozcan,Eins Zwei,E maj,138,Big Room
Dirty Ducks,Team,E min,128,Big Room
Esteban Lopez,I Will Love Again,G min,128,Big Room
Jaxx & Vega,Soundcontrol,D♯ maj,130,Big Room
Martin Garrix,Mistaken,A maj,128,Big Room
Afrojack,Bring It Back (Afrojack X Sunnery James & Ryan Marciano Edit),A min,128,Big Room
Tiesto,Lose Control,F♯ min,130,Big Room
Cuebrick,Ready feat. Axel Jones feat. Morell Brown,D maj,128,Big Room
Thomas Gold,HI LO,F maj,128,Big Room
David Guetta,This Ain't Techno,D maj,126,Big Room
Armin van Buuren,Repeat After Me,G♯ min,132,Big Room
Martin Garrix,High On Life,A maj,96,Big Room
Skytech,Looking At Me,F min,130,Big Room
Futuristic Polar Bears,CNTRL,B min,132,Big Room
W&W,Matrix,D♯ min,138,Big Room
Avicii,Levels,E maj,126,Big Room
Diego Miranda,Elev8,F♯ maj,128,Big Room
David Guetta,Ring The Alarm,F♯ maj,126,Big Room
Armin van Buuren,Lifting You Higher (ASOT 900 Anthem),A min,130,Big Room
Novak,RUFF,G maj,126,Big Room
Tiesto,Halfway There feat. Lena Leon,G min,128,Big Room
David Guetta,Ring The Alarm,A♯ min,126,Big Room
Big Kid,Every Breath You Take,C♯ maj,128,Big Room
Toby Green,Work It,G maj,124,Big Room
Planet Perfecto Knights,ResuRection,E min,130,Big Room
Rudeejay,HEY!,F min,130,Big Room
Florian Picasso,Raspoutine,D min,127,Big Room
Orjan Nilsen,Wait 4 It,F min,126,Big Room
Danny Avila,Fat Beat,E maj,140,Big Room
Funkstar De Luxe,Sun Is Shining,E min,130,Big Room
Armin van Buuren,Ready To Rave,G♯ min,140,Big Room
Juanjo Martin,Millennium 2k19,A min,128,Big Room
Showtek,Listen To Your Momma Feat. Leon Sherman,B min,128,Big Room
Nicky Romero,Deep Dark Jungle,G♯ maj,128,Big Room
Quintino,Epic,E maj,128,Big Room
Tiesto,WOW,G♭ min,128,Big Room
Dimitri Vegas,Tremor,G♭ min,128,Big Room
Martin Garrix,Animals,F maj,128,Big Room
Rob & Jack,I Got U,B min,128,Big Room
Quintino,teQno (Music Is The Answer),G maj,128,Big Room
Martin Garrix,No Sleep,B maj,128,Big Room
Funk Machine,Something,A maj,128,Big Room
Jay Hardway,Exhale,G min,128,Big Room
Dimitri Vegas,"Here We Go (Hey Boy, Hey Girl)",A♭ maj,126,Big Room
BGSS,Hacker,F♯ min,128,Big Room
Marcus Santoro,Best Of Me,A maj,126,Big Room
Syzz,Everybody,F♯ min,126,Big Room
Elle Vee,Daydreaming,D maj,128,Big Room
Juanjo Martin,Millennium 2k19,A min,128,Big Room
KAAZE,My City feat. Aloma Steele,A♯ min,128,Big Room
Tiesto,Halfway There feat. Lena Leon,G min,128,Big Room
Alex Byrne,Ignite,D♯ min,128,Big Room
DJ Snake,Let's Get Ill,A♭ maj,128,Big Room
Afrojack,Turn Up The Speakers,F maj,128,Big Room
Sebastian Ingrosso,Calling (Lose My Mind),E maj,125,Big Room
Tim Berg,Seek Bromance,D♭ min,126,Big Room
Subliminals,Manticore,F♯ min,130,Big Room
David Guetta,Ring The Alarm,F maj,128,Big Room
Tiesto,Trouble feat. Micky Blue,G♯ min,128,Big Room
Main Circus,Rock The Drum,G min,126,Big Room
Alesso,PROGRESSO,D♯ min,125,Big Room
Alesso,Tilted Towers,G maj,124,Big Room
Martin Garrix,Dreamer,F min,126,Big Room
Cascada,Everytime We Touch,A♭ maj,145,Big Room
Justluke,Be the One,G♯ min,127,Big Room
Big Kid,Every Breath You Take,C♯ maj,128,Big Room
Vivid,Back To Me,A min,126,Big Room
Bassjackers,Flip The Beat,F maj,128,Big Room
Steve Aoki,Anything More feat. Era Istrefi,C♯ maj,138,Big Room
Lucas & Steve,Lunar,D maj,126,Big Room
Deorro,Bring It Back,F maj,128,Big Room
Calvin Harris,Promises,E♭ min,125,Big Room
W&W,Rave Culture,F min,128,Big Room
SICK INDIVIDUALS,Reaction,F maj,128,Big Room
Tommie Sunshine,Tear This Mother Down (feat. MX2),G min,127,Big Room
Steve Aoki,Shakalaka,F maj,140,Big Room
David Guetta,Bad feat. Vassy,F min,128,Big Room
Luis Erre,The Final Lamento,F maj,128,Big Room
SaberZ,Nebula,D min,128,Big Room
SaberZ,Without Your Love,E min,130,Big Room
SICK INDIVIDUALS,LUNA,E min,128,Big Room
Tony Junior,Unleash The Beast,F maj,130,Big Room
Flaremode,Madagascar,D♯ min,128,Big Room
Alesso,CONFESSION,B min,124,Big Room
Jay Hardway,Aliens,G min,128,Big Room
Fabio Aurea,Yini Feat. Toshi,E min,123,Deep House
Gorge,Cataleya,C maj,123,Deep House
Genius Of Time,Peace Bird,A♯ maj,124,Deep House
Sabb,Jeopardized,A♯ maj,124,Deep House
Volen Sentir,Fatoumata,D min,121,Deep House
Betoko,Lovve,D♯ min,123,Deep House
Enzo Siragusa,Beautiful Emi,A♯ min,128,Deep House
Saison,Moments,B min,124,Deep House
Cinthie,Mesmerizing,A min,125,Deep House
Modd,Vishaya,F maj,122,Deep House
Tibi Dabo,Her Moon,C min,125,Deep House
DJ Steaw,Phreaq,A min,123,Deep House
Prunk,Pacific,A min,126,Deep House
Seven Davis Jr.,Remind Me,C min,125,Deep House
Gorge,Jyoti,C min,124,Deep House
Sebb Junior,Beach,B maj,123,Deep House
Chris Stussy,Politics Of Dancing X Chris Stussy,D min,124,Deep House
Karmon,6 a.m. Funk,B min,123,Deep House
Wild Dark,Like A Whisper,D min,120,Deep House
Amonita,Secret of Happiness,F♯ min,121,Deep House
Chris Stussy,Cosmo,A♯ min,126,Deep House
DJOKO,Shine Bright,F maj,127,Deep House
Enzo Siragusa,Stromboli,A min,126,Deep House
Jesse Maas,Planet 34,B min,126,Deep House
Rue,The Cult,A min,121,Deep House
Cinthie,Time to Move,A maj,124,Deep House
Big Al,You Can't Understand,G min,121,Deep House
Hermanez,Twenty Four,B min,122,Deep House
Damian Lazarus & The Ancient Moons,I Found You,A♯ min,122,Deep House
Big Al,Andalucia,E maj,123,Deep House
Gorge,As we are,D♯ min,123,Deep House
Rene Bourgeois,You,A min,120,Deep House
CIOZ,Cookie Man,C min,123,Deep House
Facundo Mohrr,Mandancer,A♯ min,122,Deep House
Toman,Subtly,C min,126,Deep House
T. Jacques,Velocity,E min,124,Deep House
Kevin Yost,The Moonlight,D maj,125,Deep House
Agoria,Singing,A min,127,Deep House
Amonita,Azure,A♯ min,121,Deep House
Jem Cooke,So Long feat. Jem Cooke,D min,124,Deep House
Mark Alow,White Tusk,D min,122,Deep House
Tibi Dabo,It's All Behind,A♯ min,127,Deep House
Amonita,Fairy,D♯ min,120,Deep House
Eleonora,Fjords,A min,121,Deep House
Atjazz,Everything = (Dub),F maj,120,Deep House
Musumeci,Mr Q,A♯ min,120,Deep House
Volen Sentir,Manasarovar,D♯ min,121,Deep House
Gab Rhome,La Maison,C min,120,Deep House
Sebo K,Politics Of Dancing X Sebo K,A♯ min,124,Deep House
Adryiano,On My Side,C min,123,Deep House
Facundo Mohrr,Camel,G min,120,Deep House
Lexer,Brother Where Are You?,D♯ min,120,Deep House
Damian Lazarus,Feedback Loop,D♯ min,123,Deep House
Javi Bora,Smashing Up,F♯ min,125,Deep House
Teddy Pendergrass,I Don't Love You Anymore,A min,125,Deep House
Archila,Little Helper 346-3,A min,123,Deep House
Erdi Irmak,Days Like This,A min,121,Deep House
Crispin J Glover,The Long Goodbye,B min,122,Deep House
Toman,Sentiment,F♯ min,127,Deep House
Matthias Meyer,Love Letters From Sicily,G maj,121,Deep House
Damian Lazarus,Feedback Loop,E♭ min,123,Deep House
Brigado Crew,MsWhy,C maj,123,Deep House
Damian Lazarus,All I Need To Get High,A min,120,Deep House
Roy Rosenfeld,Rumbala,C min,122,Deep House
Bicep,Opal,A min,159,Deep House
N-You-Up,Jazz Bar,G min,121,Deep House
Akufen,My Blue House,A♯ min,127,Deep House
Cinthie,Dancing,E min,125,Deep House
Fluida,Bambuduki,C maj,121,Deep House
Damian Lazarus,All I Need To Get High,A min,120,Deep House
JT Donaldson,Stay Inside feat. Liv.e,D maj,125,Deep House
Okain,Next Friday,A min,125,Deep House
Toman,Snowy Groove,B min,125,Deep House
Facundo Mohrr,"The Sea, the Moon",D min,122,Deep House
Atjazz,Tear,F♯ min,120,Deep House
Iris Menza,Trip Talk,B min,126,Deep House
Damian Lazarus,Feedback Loop,G♯ min,120,Deep House
m.O.N.R.O.E.,Elucidate,E min,121,Deep House
Forteba,Pictograms,E min,116,Deep House
Amonita,Dream Together,A min,120,Deep House
Diamondancer,I Am House,A min,123,Deep House
MARINA TRENCH,MTME,G min,124,Deep House
Chopstick & Johnjon,What A Day,A♯ min,125,Deep House
Dilby,Night Moves,A min,123,Deep House
Chris Stussy,"You & Me, Together",E maj,127,Deep House
Gorge,Don't Stop,G♭ min,123,Deep House
CIOZ,Lucky Shot,D min,122,Deep House
Stephan Bazbaz,Bloody Mary,C min,126,Deep House
Budakid,Adieu X,C min,118,Deep House
Axel Boman,Surfliner,B min,120,Deep House
JT Donaldson,Stay Inside feat. Liv.e,A min,125,Deep House
JVXTA,Rudy's Disc 31,F♯ min,124,Deep House
New Jackson,The Night Mail,D♯ min,122,Deep House
Bongbeck,The Robber's Daughter (GHIZ retouch),G maj,120,Deep House
Jay Hill,Beckoning,D min,123,Deep House
Canu,Mariposa,E min,121,Deep House
Geist,Tiny Little Things,E min,120,Deep House
Politics Of Dancing,Good Times,A min,125,Deep House
Forteba,De Capri,G min,123,Deep House
Stereo.type,Visions feat. Felix Raphael,D min,123,Deep House
Chase & Status,Program,G min,175,Drum & Bass
Metrik,Hackers,F maj,87,Drum & Bass
Ulterior Motive,The Ripper,D min,86,Drum & Bass
Friction,Forever Dub (ft. Kiko Bun),E min,87,Drum & Bass
Culture Shock,Renaissance,F min,174,Drum & Bass
Dimension,Devotion (feat. Cameron Hayes),F min,87,Drum & Bass
Calyx & TeeBee,War Dub,E min,85,Drum & Bass
Grey Code,Veilig,E maj,86,Drum & Bass
Wilkinson,All For You,C min,87,Drum & Bass
T>I,Tek It Back,A min,175,Drum & Bass
Smooth,Roly-Poly,F min,86,Drum & Bass
Mohican Sun,Darkest Hour,D min,87,Drum & Bass
Jubei,Walnuts,E min,86,Drum & Bass
Ulterior Motive,OneTwoSeven,A maj,86,Drum & Bass
Drumsound & Bassline Smith,Bloodclaaart,F maj,87,Drum & Bass
Nymfo,Curry,A♯ min,87,Drum & Bass
A.M.C,Look Out,G min,87,Drum & Bass
1991,Midnight,A min,87,Drum & Bass
Nymfo,Jarhead,D min,87,Drum & Bass
Walk:r,Blue Soul,C min,88,Drum & Bass
Alibi,Stardust,F♯ min,86,Drum & Bass
Misanthrop,Deadlock,F maj,87,Drum & Bass
Andy C,Till Dawn,G min,87,Drum & Bass
Technimatic,True Believer,C min,87,Drum & Bass
Calibre,Typical Things,E maj,115,Drum & Bass
Pola & Bryson,Flat Jam,B maj,87,Drum & Bass
AC13,Awake,G min,174,Drum & Bass
MC Bassman,Shaolin Technique feat. MC Bassman,D♯ maj,175,Drum & Bass
Simula,Warthog,A♯ maj,175,Drum & Bass
Bou,Wine Ya B,D min,175,Drum & Bass
John Holt,Police In Helicopter,A min,175,Drum & Bass
Sub Focus,Desire,A♭ min,87,Drum & Bass
Redders,Round Here feat. Redders,A♯ min,87,Drum & Bass
Kings Of The Rollers,The Sky Is Falling feat. Lydia Plain,F♯ maj,87,Drum & Bass
Skeptical,Mechanism,A min,86,Drum & Bass
High Contrast,Days Go By,D♯ min,87,Drum & Bass
Gridlok,Sound Barrier,F maj,87,Drum & Bass
Shy FX,Rudeboy Lovesong (feat. Sweetie Irie and Cara Delevingne),F♯ min,86,Drum & Bass
S.P.Y,Runaway Dub,G min,86,Drum & Bass
T>I,You Wi Jah,E min,88,Drum & Bass
Particle,Got U,C♯ min,86,Drum & Bass
Warhead,Ice Cold,G min,175,Drum & Bass
AC13,Giant Machines,D♯ min,174,Drum & Bass
InsideInfo,Mirrored,B min,86,Drum & Bass
Kanine,Calculate,F maj,87,Drum & Bass
Kumarachi,Frog Belch,B maj,172,Drum & Bass
Phase,Coyote,D♯ maj,87,Drum & Bass
Black Sun Empire,Mud,F maj,87,Drum & Bass
Kings Of The Rollers,Zulu,F maj,175,Drum & Bass
Break,Excuses,F maj,86,Drum & Bass
Audio,Darkseid,E min,87,Drum & Bass
Double 99,Ripgroove,C min,115,Drum & Bass
Doktor,Warn Dem,A min,88,Drum & Bass
Adred,Captivate feat. Robert Manos,A min,87,Drum & Bass
Smooth,Ride Out feat. Coppa,F maj,87,Drum & Bass
Levela,Nightmare,F♯ min,87,Drum & Bass
Silence Groove,Cheeky Growler (Pola & Bryson Remix),F♯ min,87,Drum & Bass
High Contrast,If We Ever,D min,87,Drum & Bass
Kings Of The Rollers,Mammoth,F♯ maj,88,Drum & Bass
Gydra,Caliban,G♯ min,115,Drum & Bass
Drs,Crazy,E maj,86,Drum & Bass
Rider Shafique,Proud feat. Tiffanie Malvo feat. Tiffanie Malvo,D♭ min,176,Drum & Bass
Heist,Fathomos Gob,D min,175,Drum & Bass
T>I,Can't Play Dat,F maj,175,Drum & Bass
Smooth,Forever,A min,86,Drum & Bass
Traumatize,Stereo Yout,G min,87,Drum & Bass
Dr Meaker,The Rooster,F maj,175,Drum & Bass
Ulterior Motive,7 x 7,A♯ min,86,Drum & Bass
Madcap,Pressure,G min,115,Drum & Bass
S9 (UK),Defibrillator,C min,87,Drum & Bass
Total Science,Dog's Dinner,F min,87,Drum & Bass
The Upbeats,Wubplate,F♯ min,87,Drum & Bass
Smooth,Devil's Head,F min,86,Drum & Bass
Qo,Krieg,G min,116,Drum & Bass
Enei,Never Tell Me,A♯ maj,86,Drum & Bass
Cheshire Cat,Dubplate Style,E min,88,Drum & Bass
Cyantific,4 Years,F♯ min,174,Drum & Bass
MC Bassman,Rockers feat. MC Bassman,C♯ min,88,Drum & Bass
Molecular,What Defines,A min,86,Drum & Bass
Multiplex,U WANT IT,A min,87,Drum & Bass
Merikan,Giant Growth,G min,86,Drum & Bass
Nymfo,Hide & Seek,A♯ min,86,Drum & Bass
Mefjus,Blitz,D min,86,Drum & Bass
Mampi Swift,Victory,B min,87,Drum & Bass
Calibre,Simple Sa,A min,86,Drum & Bass
Screamarts,Space Gang,D♯ maj,86,Drum & Bass
Kumarachi,Namkrow,B min,174,Drum & Bass
Technimatic,Let It Fall,F maj,87,Drum & Bass
King Yoof,Killing a Soundboy,F♯ min,175,Drum & Bass
Tantrum Desire,Unleashed,A min,87,Drum & Bass
Shy FX,Roll The Dice (feat. Stamina MC & Lily Allen),D min,172,Drum & Bass
Friction,Forever Dub (ft. Kiko Bun),E min,87,Drum & Bass
Phaction,Aviatrix feat. Riya,C♯ min,87,Drum & Bass
Cutty Ranks,Retreat2018,B maj,86,Drum & Bass
Composure,Listen,C min,86,Drum & Bass
Coppa,No Fear feat. Coppa,A♯ maj,87,Drum & Bass
Kings Of The Rollers,Guitar Track,A♯ min,175,Drum & Bass
Danny Byrd,Starting It Over feat. Hannah Symons,G maj,115,Drum & Bass
Kings Of The Rollers,You Got Me,B min,88,Drum & Bass
Prolix,Beat Down feat. DC Breaks,F maj,87,Drum & Bass
Gammer,Riot,E min,150,Dubstep
Phaseone,Demon Hunter,D♯ min,145,Dubstep
Seven Lions,Sojourn,A♯ maj,150,Dubstep
effin,Dirty Laundry,F♯ min,150,Dubstep
Gammer,Underdogs,G min,150,Dubstep
DJ Snake,SouthSide,F min,150,Dubstep
BadKlaat,Purge,A♯ min,150,Dubstep
Midnight Tyrannosaurus,Banana Planet,D min,145,Dubstep
Mastadon,Portal,D♯ min,140,Dubstep
Sam King,Get Loose feat. Sam King,D♯ min,150,Dubstep
Kai Wachi,BREAK,D maj,150,Dubstep
Zomboy,Revival,D♯ min,150,Dubstep
Virus Syndicate,Gang Shit,D♯ min,150,Dubstep
Snavs,Us,E min,150,Dubstep
Ghoster,Put It Down,F maj,150,Dubstep
Midnight Tyrannosaurus,Mutation,D min,145,Dubstep
Kai Wachi,Between The Lines,A maj,155,Dubstep
Doctor P,Something to Believe In,E min,150,Dubstep
Gladez,Shinobi,D♯ min,150,Dubstep
effin,Lettuce,D♯ min,150,Dubstep
Phaseone,Ultima (Feat. Bone Thugs-N-Harmony),E min,150,Dubstep
Hekler,Doom,A♯ min,74,Dubstep
YOOKIE,Wraith,E min,150,Dubstep
